onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005602837	2.7	forage	0	6.916	n/a	n/a	n/a	17.80088191	81.66666667	20	36.65643076	0
16.76383843	2.7	engage	0	1.886	16.8	20.65	1	n/a	n/a	n/a	n/a	n/a
26.98887605	2.7	forage	0	6.549	n/a	n/a	n/a	15.00786345	76.66666667	10	40.42545647	1
40.16894282	2.7	forage	0	2.767	n/a	n/a	n/a	-23.4494224	73.33333333	20	71.5	0
48.07869211	2.7	engage	0	4.578	59.15	15.1	1	n/a	n/a	n/a	n/a	n/a
61.80722735	2.7	forage	0	5.628	n/a	n/a	n/a	23.04337978	81.66666667	10	35.55703938	1
72.58330102	2.7	forage	0	2.713	n/a	n/a	n/a	-20.3257197	73.33333333	10	71.4723354	0
82.34319727	2.7	engage	0	2.497	25.65	94.9	0	n/a	n/a	n/a	n/a	n/a
93.08126427	2.7	forage	0	4.55	n/a	n/a	n/a	-25.97732173	65	10	69.07907047	0
105.5751323	2.7	engage	0	2.37	32.4	42.25	0	n/a	n/a	n/a	n/a	n/a
120.2454306	2.7	forage	0	5.096	n/a	n/a	n/a	10.46784367	73.33333333	20	40.43624566	0
128.4903214	2.7	engage	0	1.814	14.5	44.4	0	n/a	n/a	n/a	n/a	n/a
138.6966747	2.7	forage	0	2.959	n/a	n/a	n/a	-10.96822259	55	20	50.53410291	0
146.80588	2.7	engage	0	1.026	18.9	39.5	0	n/a	n/a	n/a	n/a	n/a
158.0934513	2.7	forage	0	10.053	n/a	n/a	n/a	16.20644166	71.66666667	10	35.56450883	1
173.5930388	2.7	forage	0	2.43	n/a	n/a	n/a	-25.97335647	58.33333333	5	67.46816056	0
180.1371699	2.7	engage	0	0.892	66.3	20.4	1	n/a	n/a	n/a	n/a	n/a
190.9744841	2.7	forage	0	6.188	n/a	n/a	n/a	12.49056888	86.66666667	5	45.42915346	1
202.54607	2.7	forage	0	0.91	n/a	n/a	n/a	-14.40706202	78.33333333	5	66.37596197	0
209.437198	2.7	engage	0	1.182	51.8	99.45	0	n/a	n/a	n/a	n/a	n/a
218.6723048	2.7	forage	0	3.083	n/a	n/a	n/a	-20.65284442	76.66666667	10	70.4617474	0
226.6176854	2.7	engage	0	1.808	35.8	42.25	1	n/a	n/a	n/a	n/a	n/a
238.5244832	2.7	forage	0	10.38	n/a	n/a	n/a	6.280861124	86.66666667	5	51.20220311	0
254.0993482	2.7	engage	0	1.006	51.6	78.5	0	n/a	n/a	n/a	n/a	n/a
264.0866436	2.7	forage	0	5.335	n/a	n/a	n/a	-14.42126318	60	5	57.19684624	0
273.5314303	2.7	engage	0	2.798	24.75	28.25	0	n/a	n/a	n/a	n/a	n/a
283.5232622	2.7	forage	0	2.486	n/a	n/a	n/a	-16.05369616	76.66666667	10	67.47590664	0
289.3145398	2.7	engage	0	3.653	45.3	40.95	1	n/a	n/a	n/a	n/a	n/a
300.3162838	2.7	forage	0	4.807	n/a	n/a	n/a	44.49562061	101.6666667	5	15.14305115	1
312.9221226	2.7	forage	0	4.625	n/a	n/a	n/a	0.901386584	78.33333333	10	55.69963785	0
322.3951754	2.7	engage	0	0.854	46.4	94.05	0	n/a	n/a	n/a	n/a	n/a
331.002893	2.7	forage	0	7.294	n/a	n/a	n/a	-11.78858877	78.33333333	20	65.83816206	0
341.2440023	2.7	engage	0	0.901	91.2	12.15	1	n/a	n/a	n/a	n/a	n/a
350.1931631	2.7	forage	0	7.151	n/a	n/a	n/a	-0.035115605	81.66666667	5	56.09579498	1
362.6008911	2.7	forage	0	7.946	n/a	n/a	n/a	9.745815938	90	10	48.45261808	0
374.5919139	2.7	engage	0	0.879	15	80.1	0	n/a	n/a	n/a	n/a	n/a
387.1318886	2.7	forage	0	4.124	n/a	n/a	n/a	-14.79781533	73.33333333	5	66.37264222	0
395.1073689	2.7	engage	0	0.885	32.5	54.6	0	n/a	n/a	n/a	n/a	n/a
407.3159121	2.7	forage	0	5.085	n/a	n/a	n/a	3.16529182	61.66666667	20	41.12509431	0
416.256022	2.7	engage	0	1.095	17.2	26.2	0	n/a	n/a	n/a	n/a	n/a
428.4940655	2.7	forage	0	3.296	n/a	n/a	n/a	8.066058045	73.33333333	20	41.78074544	0
435.7881596	2.7	engage	0	1.109	31.6	54.6	0	n/a	n/a	n/a	n/a	n/a
446.8258315	2.7	forage	0	8.288	n/a	n/a	n/a	17.27370521	83.33333333	5	35.39824456	1
464.0089294	2.7	forage	0	9.126	n/a	n/a	n/a	-18.50942776	76.66666667	5	64.57693275	0
477.385601	2.7	engage	0	4.439	54.6	35.6	0	n/a	n/a	n/a	n/a	n/a
488.778621	2.7	forage	0	2.607	n/a	n/a	n/a	-7.291080261	75	10	60.57220462	0
494.4845631	2.7	engage	0	1.252	25.2	53.6	0	n/a	n/a	n/a	n/a	n/a
503.4371652	2.7	forage	0	12.448	n/a	n/a	n/a	8.519517798	60	5	35.40488406	0
519.7830773	2.7	engage	0	2.002	40.75	17.15	1	n/a	n/a	n/a	n/a	n/a
