onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005720932	2.7	forage	0	6.648	n/a	n/a	n/a	-15.95270191	66.66666667	20	58.67385946	0
16.54845035	2.7	engage	0	1.381	90.75	16.8	1	n/a	n/a	n/a	n/a	n/a
29.83631389	2.7	forage	0	1.464	n/a	n/a	n/a	-26.60611975	55	10	66.17179719	0
36.38055354	2.7	engage	0	0.783	113.75	58	1	n/a	n/a	n/a	n/a	n/a
48.53971985	2.7	forage	0	17.038	n/a	n/a	n/a	33.98419597	88.33333333	5	25.59501534	1
70.83855613	2.7	forage	0	7.898	n/a	n/a	n/a	-6.041617625	81.66666667	20	60.5	0
82.84438743	2.7	engage	0	9.986	33	11.7	1	n/a	n/a	n/a	n/a	n/a
101.7829699	2.7	forage	0	2.287	n/a	n/a	n/a	-7.812004762	68.33333333	10	52.67451335	0
109.3262754	2.7	engage	0	1.345	38.5	64.8	0	n/a	n/a	n/a	n/a	n/a
118.9151826	2.7	forage	0	7.306	n/a	n/a	n/a	19.52049528	80	20	36.65089784	1
131.6112002	2.7	forage	0	1.311	n/a	n/a	n/a	-18.36996127	60	10	61.91947085	0
140.2083456	2.7	engage	0	1.127	35	61.8	0	n/a	n/a	n/a	n/a	n/a
149.795402	2.7	forage	0	5.691	n/a	n/a	n/a	17.87896987	88.33333333	10	42.53654243	1
162.5320459	2.7	forage	0	1.421	n/a	n/a	n/a	7.132930939	81.66666667	10	51.46999648	0
169.4890436	2.7	engage	0	4.766	41.5	56	1	n/a	n/a	n/a	n/a	n/a
181.6458858	2.7	forage	0	8.137	n/a	n/a	n/a	24.70661268	81.66666667	5	25.31338967	1
196.5744456	2.7	forage	0	1.981	n/a	n/a	n/a	14.24489211	76.66666667	10	35.55703938	0
202.3203243	2.7	engage	0	0.677	59.5	24.2	1	n/a	n/a	n/a	n/a	n/a
211.4090665	2.7	forage	0	4.621	n/a	n/a	n/a	-28.26195698	61.66666667	20	71.4723354	0
220.2358811	2.7	engage	0	3.291	84.5	21.15	1	n/a	n/a	n/a	n/a	n/a
234.2250516	2.7	forage	0	8.788	n/a	n/a	n/a	13.7466157	86.66666667	5	41.17599718	1
248.6557038	2.7	forage	0	1.188	n/a	n/a	n/a	-20.93487584	76.66666667	5	68.93051154	0
255.2004226	2.7	engage	0	1.927	36.5	92.95	0	n/a	n/a	n/a	n/a	n/a
265.27509	2.7	forage	0	2.254	n/a	n/a	n/a	-16.73762051	75	10	66	0
270.8828332	2.7	engage	0	0.717	12.3	103.8	0	n/a	n/a	n/a	n/a	n/a
282.1720157	2.7	forage	0	1.515	n/a	n/a	n/a	-7.783491776	73.33333333	5	56.53953523	0
289.7649393	2.7	engage	0	3.217	37.4	30.15	1	n/a	n/a	n/a	n/a	n/a
301.5371032	2.7	forage	0	2.253	n/a	n/a	n/a	-7.133060041	76.66666667	20	60.57220462	0
308.2971608	2.7	engage	0	1.149	30	42	0	n/a	n/a	n/a	n/a	n/a
316.2340012	2.7	forage	0	3.003	n/a	n/a	n/a	-22.30277987	66.66666667	10	66	0
326.1461391	2.7	engage	0	3.693	17.9	75	1	n/a	n/a	n/a	n/a	n/a
339.1334382	2.7	forage	0	5.518	n/a	n/a	n/a	-1.907031839	85	10	54.30478849	1
350.0545778	2.7	forage	0	0.801	n/a	n/a	n/a	-5.737491407	75	10	55.69963785	0
358.027486	2.7	engage	0	3.844	50.4	61.6	1	n/a	n/a	n/a	n/a	n/a
372.4184269	2.7	forage	0	4.1	n/a	n/a	n/a	5.331098369	71.66666667	20	45.81396811	0
381.7259948	2.7	engage	0	1.299	28.35	26.75	0	n/a	n/a	n/a	n/a	n/a
392.9635232	2.7	forage	0	2.176	n/a	n/a	n/a	-14.95242359	85	20	64.57693275	0
399.5582233	2.7	engage	0	2.53	88.2	34.6	1	n/a	n/a	n/a	n/a	n/a
415.0798463	2.7	forage	0	5.238	n/a	n/a	n/a	-15.72522509	75	20	65.83816206	0
427.2232398	2.7	engage	0	0.816	95.4	20.1	1	n/a	n/a	n/a	n/a	n/a
435.1632072	2.7	forage	0	3.356	n/a	n/a	n/a	-9.966800798	76.66666667	10	63.04099391	0
441.5223101	2.7	engage	0	1.718	40.5	72.6	1	n/a	n/a	n/a	n/a	n/a
452.9600348	2.7	forage	0	1.278	n/a	n/a	n/a	-14.86227386	63.33333333	5	60.86129973	0
462.7579301	2.7	engage	0	2.101	52.8	39.55	0	n/a	n/a	n/a	n/a	n/a
472.3100624	2.7	forage	0	1.681	n/a	n/a	n/a	-29.50540717	58.33333333	20	70.45427795	0
478.9532828	2.7	engage	0	2.708	46.15	15.4	1	n/a	n/a	n/a	n/a	n/a
489.8094761	2.7	forage	0	1.46	n/a	n/a	n/a	-5.513887631	70	10	55.56574116	0
498.4546703	2.7	engage	0	0.716	44.1	98.45	0	n/a	n/a	n/a	n/a	n/a
507.6893336	2.7	forage	0	1.841	n/a	n/a	n/a	11.7624365	70	10	35.40488406	0
514.6384854	2.7	engage	0	1.533	29.5	24.85	1	n/a	n/a	n/a	n/a	n/a
527.0232448	2.7	forage	0	3.782	n/a	n/a	n/a	5.575081736	73.33333333	5	45.81396811	0
534.7666456	2.7	engage	0	0.673	63	14.25	1	n/a	n/a	n/a	n/a	n/a
545.9026539	2.7	forage	0	1.388	n/a	n/a	n/a	-26.37209564	56.66666667	5	66.17179719	0
551.7988659	2.7	engage	0	15.834	79.3	79.5	0	n/a	n/a	n/a	n/a	n/a
575.0713199	2.7	forage	0	4.481	n/a	n/a	n/a	-18.38508459	78.33333333	5	65.85061114	1
587.6847614	2.7	forage	0	1.64	n/a	n/a	n/a	13.12567443	81.66666667	5	40.42545647	0
596.2295656	2.7	engage	0	4.041	46.8	39.75	0	n/a	n/a	n/a	n/a	n/a
606.816747	2.7	forage	0	2.717	n/a	n/a	n/a	5.858717704	78.33333333	5	51.40636789	0
613.4284538	2.7	engage	0	1.81	72	35.75	1	n/a	n/a	n/a	n/a	n/a
624.6847516	2.7	forage	0	1.722	n/a	n/a	n/a	4.10793555	81.66666667	5	51.20220311	0
631.377391	2.7	engage	0	0.591	27.6	87	0	n/a	n/a	n/a	n/a	n/a
639.4704697	2.7	forage	0	1.026	n/a	n/a	n/a	7.978398136	83.33333333	20	47.22541623	0
648.3797301	2.7	engage	0	3.599	52	58.5	0	n/a	n/a	n/a	n/a	n/a
663.6165814	2.7	forage	0	6.398	n/a	n/a	n/a	37.3711366	86.66666667	5	20.58799859	1
677.3734607	2.7	forage	0	0.697	n/a	n/a	n/a	-11.79674061	66.66666667	20	61.68764147	0
686.2239676	2.7	engage	0	2.453	64.8	37.5	1	n/a	n/a	n/a	n/a	n/a
698.2318024	2.7	forage	0	1.591	n/a	n/a	n/a	-9.776542092	58.33333333	10	52.67451335	0
705.9443053	2.7	engage	0	0.643	55.5	18.9	1	n/a	n/a	n/a	n/a	n/a
716.2348796	2.7	forage	0	4.369	n/a	n/a	n/a	30.23075466	93.33333333	20	30.29716815	1
728.3592511	2.7	forage	0	0.733	n/a	n/a	n/a	-19.75800513	70	10	67.30604597	0
738.0541121	2.7	engage	0	2.714	94.9	67.65	1	n/a	n/a	n/a	n/a	n/a
752.0979558	2.7	forage	0	2.433	n/a	n/a	n/a	34.32795634	90	5	20.30581963	1
763.3593573	2.7	forage	0	0.856	n/a	n/a	n/a	-21.75902285	63.33333333	20	63.6050752	0
768.952245	2.7	engage	0	1.543	38.4	46.2	0	n/a	n/a	n/a	n/a	n/a
780.9948146	2.7	forage	0	2.982	n/a	n/a	n/a	-2.791690559	61.66666667	20	46.92580856	0
788.1344632	2.7	engage	0	2.2	52.65	28.2	1	n/a	n/a	n/a	n/a	n/a
799.5741873	2.7	forage	0	1.294	n/a	n/a	n/a	12.3655802	81.66666667	10	41.78074544	0
805.2187498	2.7	engage	0	0.855	61.6	29.05	1	n/a	n/a	n/a	n/a	n/a
817.1721954	2.7	forage	0	0.867	n/a	n/a	n/a	-15.39535235	66.66666667	5	60.57220462	0
823.9655174	2.7	engage	0	1.236	37.2	48.8	0	n/a	n/a	n/a	n/a	n/a
834.4243891	2.7	forage	0	9.61	n/a	n/a	n/a	-23.47315863	76.66666667	10	71.4723354	0
847.0474595	2.7	engage	0	1.582	14.85	91.65	0	n/a	n/a	n/a	n/a	n/a
859.8386687	2.7	forage	0	3.05	n/a	n/a	n/a	25.94572875	81.66666667	20	30.88199789	1
869.3004017	2.7	forage	0	0.842	n/a	n/a	n/a	-21.94024445	60	5	65.65944872	0
875.2492452	2.7	engage	0	2.249	67.6	73.8	0	n/a	n/a	n/a	n/a	n/a
886.1356779	2.7	forage	0	6.343	n/a	n/a	n/a	9.811288835	60	20	30.84382073	1
899.0672239	2.7	forage	0	1.739	n/a	n/a	n/a	3.833152256	56.66666667	20	35.56450883	0
906.8604677	2.7	engage	0	0.658	20.4	56	0	n/a	n/a	n/a	n/a	n/a
916.0004452	2.7	forage	0	1.366	n/a	n/a	n/a	-9.219690492	78.33333333	10	61.91947085	0
923.6094722	2.7	engage	0	2.198	61.5	74.4	0	n/a	n/a	n/a	n/a	n/a
934.8890875	2.7	forage	0	5.853	n/a	n/a	n/a	-16.82113073	73.33333333	10	64.57693275	0
948.0079246	2.7	engage	0	3.383	41.4	35.6	0	n/a	n/a	n/a	n/a	n/a
959.9344277	2.7	forage	0	2.197	n/a	n/a	n/a	24.91422631	85	20	32.28846637	1
970.3292299	2.7	forage	0	1.989	n/a	n/a	n/a	-17.00736884	61.66666667	10	61.91061818	0
981.1725474	2.7	engage	0	1.748	44.4	38	1	n/a	n/a	n/a	n/a	n/a
991.0627128	2.7	forage	0	2.008	n/a	n/a	n/a	-7.372192881	73.33333333	10	60.5943363	0
999.6047914	2.7	engage	0	0.659	28	88.2	0	n/a	n/a	n/a	n/a	n/a
1007.842793	2.7	forage	0	0.777	n/a	n/a	n/a	-19.83017286	73.33333333	5	69.07741059	0
1014.689384	2.7	engage	0	0.697	41.6	104.4	0	n/a	n/a	n/a	n/a	n/a
1026.826563	2.7	forage	0	3.364	n/a	n/a	n/a	-4.136854283	73.33333333	5	55	0
1034.286001	2.7	engage	0	0.849	29.5	17.5	0	n/a	n/a	n/a	n/a	n/a
1045.226168	2.7	forage	0	4.894	n/a	n/a	n/a	-15.99768456	71.66666667	20	65.83816206	0
1055.01808	2.7	engage	0	1.861	30.6	6.45	1	n/a	n/a	n/a	n/a	n/a
1066.022906	2.7	forage	0	0.903	n/a	n/a	n/a	-4.422537431	95	20	60.86129973	0
1072.983565	2.7	engage	0	0.808	87	41.65	1	n/a	n/a	n/a	n/a	n/a
1081.22215	2.7	forage	0	8.648	n/a	n/a	n/a	10.35978573	71.66666667	10	40.42545647	1
1096.622761	2.7	forage	0	4.511	n/a	n/a	n/a	-0.046089231	75	5	49.5	0
1106.398195	2.7	engage	0	1.353	16.8	68.4	0	n/a	n/a	n/a	n/a	n/a
1115.405653	2.7	forage	0	1.209	n/a	n/a	n/a	-13.84143152	81.66666667	10	66.37264222	0
1121.36703	2.7	engage	0	1.202	46.15	57.05	0	n/a	n/a	n/a	n/a	n/a
1131.219115	2.7	forage	0	2.308	n/a	n/a	n/a	26.88590111	96.66666667	20	32.30174539	1
1139.20157	2.7	forage	0	1.532	n/a	n/a	n/a	-2.635256442	76.66666667	20	56.53953523	0
1144.99584	2.7	engage	0	0.724	56.65	27.9	1	n/a	n/a	n/a	n/a	n/a
1156.984603	2.7	forage	0	2.367	n/a	n/a	n/a	29.31865265	105	20	30.84382073	1
1165.941537	2.7	forage	0	1.944	n/a	n/a	n/a	-7.169337558	83.33333333	10	61.91947085	0
1171.495841	2.7	engage	0	0.928	79.5	74.4	1	n/a	n/a	n/a	n/a	n/a
1179.584472	2.7	forage	0	1.159	n/a	n/a	n/a	-1.792205288	80	10	52.67451335	0
1187.24677	2.7	engage	0	1.379	47	72.9	0	n/a	n/a	n/a	n/a	n/a
1197.283935	2.7	forage	0	10.347	n/a	n/a	n/a	-3.838777392	78.33333333	20	55	1
1215.147849	2.7	forage	0	1.019	n/a	n/a	n/a	-10.32935466	65	5	56.53953523	0
1221.707834	2.7	engage	0	1.682	86.35	66.6	1	n/a	n/a	n/a	n/a	n/a
1232.64632	2.7	forage	0	1.295	n/a	n/a	n/a	11.56098285	71.66666667	20	40.60444646	0
1240.590737	2.7	engage	0	0.762	22	49.5	0	n/a	n/a	n/a	n/a	n/a
1253.434492	2.7	forage	0	2.28	n/a	n/a	n/a	8.683771775	75	5	43.90040742	1
1263.697567	2.7	forage	0	7.046	n/a	n/a	n/a	-26.39920695	65	10	71.4723354	0
1276.654492	2.7	engage	0	0.664	105.3	19.95	1	n/a	n/a	n/a	n/a	n/a
1284.998931	2.7	forage	0	9.788	n/a	n/a	n/a	0.43914793	70	20	48.45261808	1
1300.191665	2.7	forage	0	1.038	n/a	n/a	n/a	8.923992757	70	10	41.12509431	0
1305.786019	2.7	engage	0	3.302	26.8	19.4	1	n/a	n/a	n/a	n/a	n/a
1317.295696	2.7	forage	0	1.242	n/a	n/a	n/a	32.32957598	88.33333333	10	20.58799859	1
1326.944494	2.7	forage	0	2.29	n/a	n/a	n/a	-22.36235099	65	5	66.37596197	0
