onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005732467	2.7	forage	0	4.415	n/a	n/a	n/a	-19.24019751	66.66666667	20	66.37596197	0
15.5654552	2.7	engage	0	0.962	20.65	48.75	0	n/a	n/a	n/a	n/a	n/a
24.71175482	2.7	forage	0	2.294	n/a	n/a	n/a	3.615450262	81.66666667	20	54.30478849	1
34.45641552	2.7	forage	0	3.807	n/a	n/a	n/a	39.96762571	93.33333333	5	20.56254716	1
46.17173836	2.7	forage	0	1.412	n/a	n/a	n/a	5.808183693	75	20	50.53410291	0
51.82986393	2.7	engage	0	0.64	22.75	48	0	n/a	n/a	n/a	n/a	n/a
61.92025865	2.7	forage	0	0.974	n/a	n/a	n/a	1.751169458	95	10	55.69963785	0
67.62894856	2.7	engage	0	3.394	30.4	35.2	0	n/a	n/a	n/a	n/a	n/a
80.6683476	2.7	forage	0	3.914	n/a	n/a	n/a	16.02027732	76.66666667	5	35.40488406	0
88.52769659	2.7	engage	0	0.974	36.5	31.15	1	n/a	n/a	n/a	n/a	n/a
98.72131827	2.7	forage	0	7.184	n/a	n/a	n/a	-23.80035712	73.33333333	10	70.45427795	0
109.876293	2.7	engage	0	1.396	78	17.8	1	n/a	n/a	n/a	n/a	n/a
120.07033	2.7	forage	0	3.765	n/a	n/a	n/a	9.512511108	85	5	45.88368291	0
127.0419397	2.7	engage	0	1.517	27.3	36	0	n/a	n/a	n/a	n/a	n/a
135.9039136	2.7	forage	0	5.618	n/a	n/a	n/a	-8.210393508	85	10	63.04099391	1
147.030797	2.7	forage	0	1.126	n/a	n/a	n/a	-19.86917995	73.33333333	10	67.30604597	0
152.9768714	2.7	engage	0	3.576	66.3	58.3	1	n/a	n/a	n/a	n/a	n/a
166.8017549	2.7	forage	0	6.289	n/a	n/a	n/a	-3.786159315	75	20	54.31253458	1
178.8471544	2.7	forage	0	1.737	n/a	n/a	n/a	11.88674279	73.33333333	20	40.61163925	0
186.7215907	2.7	engage	0	0.765	27	40	0	n/a	n/a	n/a	n/a	n/a
197.7667775	2.7	forage	0	2.005	n/a	n/a	n/a	-25.45193401	60	5	67.3110256	0
203.5205715	2.7	engage	0	1.103	86.35	41.6	1	n/a	n/a	n/a	n/a	n/a
217.775831	2.7	forage	0	2.597	n/a	n/a	n/a	18.66606475	70	20	30.95973543	1
228.1634119	2.7	forage	0	6.014	n/a	n/a	n/a	3.824133595	71.66666667	5	43.90040742	0
237.4352285	2.7	engage	0	0.82	8.4	62.8	0	n/a	n/a	n/a	n/a	n/a
246.8451961	2.7	forage	0	1.141	n/a	n/a	n/a	-13.51249937	83.33333333	5	66.18009657	0
252.4509816	2.7	engage	0	0.645	55.5	83.85	0	n/a	n/a	n/a	n/a	n/a
260.5922738	2.7	forage	0	1.398	n/a	n/a	n/a	37.29789917	80	10	15.14858408	1
268.8568417	2.7	forage	0	2.203	n/a	n/a	n/a	-11.71228979	61.66666667	5	57.20348574	0
275.4662029	2.7	engage	0	0.726	37	94.6	0	n/a	n/a	n/a	n/a	n/a
287.7584223	2.7	forage	0	1.834	n/a	n/a	n/a	1.231665074	63.33333333	10	45.88368291	0
296.6315859	2.7	engage	0	1.774	38.85	36	1	n/a	n/a	n/a	n/a	n/a
307.0231779	2.7	forage	0	7.505	n/a	n/a	n/a	-16.94770551	81.66666667	5	71.4723354	1
322.3406486	2.7	forage	0	1.021	n/a	n/a	n/a	7.954071727	81.66666667	5	50.64669785	0
331.0964034	2.7	engage	0	1.461	34.5	74	0	n/a	n/a	n/a	n/a	n/a
341.5957735	2.7	forage	0	1.097	n/a	n/a	n/a	-15.57485874	66.66666667	10	63.6050752	0
347.2117958	2.7	engage	0	0.587	41.25	74.4	0	n/a	n/a	n/a	n/a	n/a
358.372234	2.7	forage	0	1.541	n/a	n/a	n/a	-3.069646061	71.66666667	5	52.67451335	0
365.0773104	2.7	engage	0	0.835	59	49.95	1	n/a	n/a	n/a	n/a	n/a
376.018898	2.7	forage	0	2.692	n/a	n/a	n/a	-5.325178143	76.66666667	5	56.53953523	0
384.9261763	2.7	engage	0	2.025	77.55	76.5	0	n/a	n/a	n/a	n/a	n/a
394.1515625	2.7	forage	0	4.039	n/a	n/a	n/a	19.0760173	75	5	36.3604195	0
404.1082789	2.7	engage	0	1.084	34.5	43.4	0	n/a	n/a	n/a	n/a	n/a
416.4001427	2.7	forage	0	5.161	n/a	n/a	n/a	2.712053384	80	10	48.43269956	1
428.4647186	2.7	forage	0	1.174	n/a	n/a	n/a	-2.625739819	76.66666667	5	52.79568432	0
435.023111	2.7	engage	0	1.023	20.6	58.5	0	n/a	n/a	n/a	n/a	n/a
444.315239	2.7	forage	0	4.372	n/a	n/a	n/a	-0.232733095	90	20	58.68741512	1
455.3474794	2.7	forage	0	0.955	n/a	n/a	n/a	-14.1386047	76.66666667	20	66.17179719	0
461.1547671	2.7	engage	0	1.005	44.2	21.5	1	n/a	n/a	n/a	n/a	n/a
471.3614381	2.7	forage	0	7.588	n/a	n/a	n/a	7.868680315	78.33333333	10	45.42915346	0
487.1698206	2.7	engage	0	1.931	38.25	39.3	0	n/a	n/a	n/a	n/a	n/a
497.4459502	2.7	forage	0	1.338	n/a	n/a	n/a	15.38089298	76.66666667	10	36.35848297	0
504.3522126	2.7	engage	0	1.503	32.55	12.3	1	n/a	n/a	n/a	n/a	n/a
515.9628408	2.7	forage	0	2.391	n/a	n/a	n/a	13.08958134	91.66666667	10	47.22541623	0
525.6174761	2.7	engage	0	1.589	43.65	63.2	0	n/a	n/a	n/a	n/a	n/a
536.5570608	2.7	forage	0	0.967	n/a	n/a	n/a	-32.51465218	50	10	67.30604597	0
543.2830693	2.7	engage	0	0.98	95.55	51.7	1	n/a	n/a	n/a	n/a	n/a
552.7756308	2.7	forage	0	2.616	n/a	n/a	n/a	3.347638449	76.66666667	20	51.40636789	0
561.4985949	2.7	engage	0	0.802	31.5	45	0	n/a	n/a	n/a	n/a	n/a
570.463689	2.7	forage	0	1.686	n/a	n/a	n/a	-4.084955485	70	5	56.09579498	0
578.0309466	2.7	engage	0	1.376	40.2	69.3	0	n/a	n/a	n/a	n/a	n/a
589.4227842	2.7	forage	0	0.984	n/a	n/a	n/a	-5.518848817	70	20	55.56574116	0
597.3964767	2.7	engage	0	1.849	58.8	72.05	1	n/a	n/a	n/a	n/a	n/a
607.0556335	2.7	forage	0	1.217	n/a	n/a	n/a	-11.32563084	88.33333333	20	65.73607967	0
613.8287714	2.7	engage	0	0.659	85.8	39.2	1	n/a	n/a	n/a	n/a	n/a
624.7209335	2.7	forage	0	3.664	n/a	n/a	n/a	-11.77451671	73.33333333	5	64.60349077	0
633.5942152	2.7	engage	0	1.643	34.2	102	0	n/a	n/a	n/a	n/a	n/a
644.9339854	2.7	forage	0	1.206	n/a	n/a	n/a	30.3718257	86.66666667	20	26.38622303	1
655.4007757	2.7	forage	0	4.278	n/a	n/a	n/a	25.97285851	83.33333333	10	30.88199789	1
667.1869653	2.7	forage	0	0.92	n/a	n/a	n/a	-23.46814211	60	10	66.18009657	0
674.9583943	2.7	engage	0	2.242	89	102.05	1	n/a	n/a	n/a	n/a	n/a
683.7011809	2.7	forage	0	1.979	n/a	n/a	n/a	-23.78814781	70	5	70.45427795	0
689.3080696	2.7	engage	0	2.301	31.2	14.6	1	n/a	n/a	n/a	n/a	n/a
701.2218904	2.7	forage	0	4.895	n/a	n/a	n/a	-3.336757038	66.66666667	10	52.77244605	0
711.2227467	2.7	engage	0	0.792	88.5	27	1	n/a	n/a	n/a	n/a	n/a
720.4162971	2.7	forage	0	3.76	n/a	n/a	n/a	-18.08669416	65	20	64.57693275	0
729.1885371	2.7	engage	0	0.958	33	35.8	0	n/a	n/a	n/a	n/a	n/a
738.3289893	2.7	forage	0	0.909	n/a	n/a	n/a	-10.6057425	76.66666667	20	60.86129973	0
745.8916362	2.7	engage	0	0.766	73.8	21.35	1	n/a	n/a	n/a	n/a	n/a
754.745703	2.7	forage	0	4.091	n/a	n/a	n/a	0.569964623	98.33333333	10	57.20348574	1
766.8982192	2.7	forage	0	0.754	n/a	n/a	n/a	-13.46657613	86.66666667	20	66.17179719	0
772.6690182	2.7	engage	0	1.811	107.9	87.5	1	n/a	n/a	n/a	n/a	n/a
784.727791	2.7	forage	0	1.009	n/a	n/a	n/a	-10.44242912	80	20	63.6050752	0
790.6887058	2.7	engage	0	0.915	92.4	81.6	1	n/a	n/a	n/a	n/a	n/a
799.8758454	2.7	forage	0	0.852	n/a	n/a	n/a	-19.69004242	66.66666667	10	65.65944872	0
805.550297	2.7	engage	0	2.45	85.15	55.8	1	n/a	n/a	n/a	n/a	n/a
815.3966512	2.7	forage	0	0.945	n/a	n/a	n/a	-9.449398924	70	5	55	0
821.35043	2.7	engage	0	1.387	90	18	1	n/a	n/a	n/a	n/a	n/a
831.0592755	2.7	forage	0	1.559	n/a	n/a	n/a	5.529213822	65	10	41.78074544	0
836.7194982	2.7	engage	0	1.036	19.2	32.9	0	n/a	n/a	n/a	n/a	n/a
848.078654	2.7	forage	0	2.198	n/a	n/a	n/a	40.89184481	96.66666667	20	20.58799859	1
859.6387424	2.7	forage	0	1.048	n/a	n/a	n/a	3.668363429	75	5	52.6783864	0
868.3964756	2.7	engage	0	1.593	46.35	28.5	1	n/a	n/a	n/a	n/a	n/a
877.7931704	2.7	forage	0	4.045	n/a	n/a	n/a	8.199604312	95	20	51.40636789	1
888.7883171	2.7	forage	0	0.748	n/a	n/a	n/a	0.327124725	86.66666667	20	56.54562145	0
896.3947755	2.7	engage	0	3.57	55.8	55	1	n/a	n/a	n/a	n/a	n/a
908.2714011	2.7	forage	0	4.057	n/a	n/a	n/a	1.048193418	83.33333333	20	57.20348574	1
920.8341238	2.7	forage	0	2.915	n/a	n/a	n/a	6.694354744	86.66666667	10	52.77244605	1
929.3174865	2.7	forage	0	4.555	n/a	n/a	n/a	-6.862555539	75	10	60.90666968	0
937.9922671	2.7	engage	0	1.796	102	69.75	1	n/a	n/a	n/a	n/a	n/a
948.1896734	2.7	forage	0	9.391	n/a	n/a	n/a	-14.95485807	85	5	64.57693275	1
965.2823479	2.7	forage	0	0.86	n/a	n/a	n/a	7.978287477	85	5	45.87704341	0
971.8932751	2.7	engage	0	0.779	77.85	24.85	1	n/a	n/a	n/a	n/a	n/a
984.287008	2.7	forage	0	3.028	n/a	n/a	n/a	-10.01276093	75	5	60.11712188	1
995.1800364	2.7	forage	0	3.713	n/a	n/a	n/a	12.87713562	75	10	40.61163925	0
1002.904957	2.7	engage	0	1.894	16.2	68.8	0	n/a	n/a	n/a	n/a	n/a
1015.197472	2.7	forage	0	2.042	n/a	n/a	n/a	1.720553963	76.66666667	20	49.5	1
1025.465655	2.7	forage	0	0.839	n/a	n/a	n/a	-23.08406519	61.66666667	20	66.37596197	0
1032.319787	2.7	engage	0	1.623	19.95	26	0	n/a	n/a	n/a	n/a	n/a
1040.513752	2.7	forage	0	2.912	n/a	n/a	n/a	-0.456355314	93.33333333	5	57.19684624	1
1050.893538	2.7	forage	0	2.416	n/a	n/a	n/a	-12.81433697	86.66666667	5	66.37264222	0
1057.468241	2.7	engage	0	0.652	112.45	32.55	1	n/a	n/a	n/a	n/a	n/a
1067.927908	2.7	forage	0	4.456	n/a	n/a	n/a	4.821682343	78.33333333	20	50.64669785	0
1076.500419	2.7	engage	0	0.745	18.6	50.5	0	n/a	n/a	n/a	n/a	n/a
1087.496307	2.7	forage	0	0.906	n/a	n/a	n/a	-32.92980568	50	5	67.30604597	0
1096.049227	2.7	engage	0	0.941	74.1	28.6	1	n/a	n/a	n/a	n/a	n/a
1106.106541	2.7	forage	0	7.629	n/a	n/a	n/a	-21.46179434	76.66666667	5	71.4723354	1
1119.599	2.7	forage	0	1.24	n/a	n/a	n/a	-12.52642221	76.66666667	5	64.57693275	0
1126.397328	2.7	engage	0	2.648	32.4	18.6	1	n/a	n/a	n/a	n/a	n/a
1137.4386	2.7	forage	0	4.455	n/a	n/a	n/a	-9.280534178	76.66666667	10	61.91061818	0
1147.012774	2.7	engage	0	0.98	81	65	1	n/a	n/a	n/a	n/a	n/a
1156.806955	2.7	forage	0	1.834	n/a	n/a	n/a	-22.26155961	58.33333333	5	61.91061818	0
1165.478319	2.7	engage	0	0.745	93.6	32.5	1	n/a	n/a	n/a	n/a	n/a
1176.422435	2.7	forage	0	3.044	n/a	n/a	n/a	14.36097279	83.33333333	20	41.17599718	1
1187.02045	2.7	forage	0	2.69	n/a	n/a	n/a	-29.74739869	61.66666667	5	69.07907047	0
1195.826466	2.7	engage	0	2.221	52.8	54.6	0	n/a	n/a	n/a	n/a	n/a
1205.20143	2.7	forage	0	2.301	n/a	n/a	n/a	2.327607599	90	5	55	1
1216.470349	2.7	forage	0	1.052	n/a	n/a	n/a	-22.7648341	68.33333333	20	69.07741059	0
1227.19119	2.7	engage	0	1.144	35.75	88.2	0	n/a	n/a	n/a	n/a	n/a
1237.435047	2.7	forage	0	1.279	n/a	n/a	n/a	-9.771138273	80	5	60.91745888	0
1244.140072	2.7	engage	0	0.692	45.45	102	0	n/a	n/a	n/a	n/a	n/a
1256.335862	2.7	forage	0	3.307	n/a	n/a	n/a	-15.24823198	86.66666667	10	71.4723354	1
1269.347365	2.7	forage	0	2.605	n/a	n/a	n/a	11.41495062	95	5	49.5	1
1277.465468	2.7	forage	0	0.991	n/a	n/a	n/a	-13.06975504	75	5	66.17179719	0
1284.120936	2.7	engage	0	0.966	89.7	55	1	n/a	n/a	n/a	n/a	n/a
1292.235422	2.7	forage	0	3.361	n/a	n/a	n/a	23.84279463	75	10	20.58799859	1
1304.465433	2.7	forage	0	1.578	n/a	n/a	n/a	-6.331782439	58.33333333	10	45.88368291	0
1310.069472	2.7	engage	0	1.986	22.75	22.05	0	n/a	n/a	n/a	n/a	n/a
1322.061574	2.7	forage	0	3.522	n/a	n/a	n/a	-14.02412856	83.33333333	5	68.91723253	1
1332.193593	2.7	forage	0	0.82	n/a	n/a	n/a	21.88934158	98.33333333	10	38.14589306	0
1337.817693	2.7	engage	0	0.534	32.2	4.2	1	n/a	n/a	n/a	n/a	n/a
1347.081498	2.7	forage	0	2.53	n/a	n/a	n/a	4.241684691	76.66666667	20	51.19003068	0
1352.733427	2.7	engage	0	1.19	37.5	22.4	1	n/a	n/a	n/a	n/a	n/a
1364.777158	2.7	forage	0	6.433	n/a	n/a	n/a	-20.14278289	58.33333333	20	63.04099391	0
1375.282107	2.7	engage	0	0.702	13	97.2	0	n/a	n/a	n/a	n/a	n/a
1389.025455	2.7	forage	0	2.687	n/a	n/a	n/a	0.786338715	75	10	51.46999648	0
1398.597315	2.7	engage	0	1.168	24	62	0	n/a	n/a	n/a	n/a	n/a
1408.007672	2.7	forage	0	1.979	n/a	n/a	n/a	-4.768252771	80	20	58.13854937	0
1415.564331	2.7	engage	0	0.748	30.8	55.5	0	n/a	n/a	n/a	n/a	n/a
1427.061359	2.7	forage	0	4.065	n/a	n/a	n/a	-1.420134802	80	5	54.31253458	1
1438.138763	2.7	forage	0	2.541	n/a	n/a	n/a	26.34033667	85	10	30.29716815	1
1449.704435	2.7	forage	0	2.407	n/a	n/a	n/a	8.527669634	78.33333333	10	45.81396811	0
1455.460533	2.7	engage	0	2.035	36.9	31.75	1	n/a	n/a	n/a	n/a	n/a
1463.852791	2.7	forage	0	2.499	n/a	n/a	n/a	16.42080546	73.33333333	10	35.40488406	1
1474.176636	2.7	forage	0	1.428	n/a	n/a	n/a	-25.32502725	61.66666667	10	67.47590664	0
1481.927629	2.7	engage	0	3.928	37.2	64.35	0	n/a	n/a	n/a	n/a	n/a
1496.402887	2.7	forage	0	1.832	n/a	n/a	n/a	-11.08682997	75	10	60.86821588	0
1504.20753	2.7	engage	0	1.181	43.4	72.6	0	n/a	n/a	n/a	n/a	n/a
1517.122214	2.7	forage	0	7.739	n/a	n/a	n/a	-1.5365659	78.33333333	10	52.79568432	1
1532.819713	2.7	forage	0	1.082	n/a	n/a	n/a	-14.09382492	71.66666667	20	61.76399577	0
1539.621976	2.7	engage	0	1.424	12.9	93.6	0	n/a	n/a	n/a	n/a	n/a
1548.666067	2.7	forage	0	1.239	n/a	n/a	n/a	-17.24729474	61.66666667	5	63.6050752	0
1555.571064	2.7	engage	0	0.837	29.7	55.8	0	n/a	n/a	n/a	n/a	n/a
1566.782152	2.7	forage	0	1.876	n/a	n/a	n/a	5.559220696	76.66666667	10	51.20220311	0
1577.590043	2.7	engage	0	0.702	18.4	54	0	n/a	n/a	n/a	n/a	n/a
