onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005703372	2.7	forage	0	4.173	n/a	n/a	n/a	1.80303137	80	20	55.55799507	0
15.14502099	2.7	engage	0	4.011	92.4	61.6	0	n/a	n/a	n/a	n/a	n/a
26.20280969	2.7	forage	0	0.895	n/a	n/a	n/a	-20.26496823	68.33333333	5	66.17179719	0
32.01216043	2.7	engage	0	1.087	41.6	83.5	0	n/a	n/a	n/a	n/a	n/a
43.07207645	2.7	forage	0	1.496	n/a	n/a	n/a	8.0869356	88.33333333	20	51.20220311	0
48.98100194	2.7	engage	0	1.779	54.4	69	0	n/a	n/a	n/a	n/a	n/a
60.01816768	2.7	forage	0	0.889	n/a	n/a	n/a	-15.06656774	83.33333333	5	70.4617474	0
65.57525223	2.7	engage	0	0.826	20.2	115.05	0	n/a	n/a	n/a	n/a	n/a
76.26904418	2.7	forage	0	0.825	n/a	n/a	n/a	-23.42657143	75	10	71.5	0
83.12836245	2.7	engage	0	0.654	70.2	6	1	n/a	n/a	n/a	n/a	n/a
94.33087075	2.7	forage	0	3.606	n/a	n/a	n/a	-21.223473	73.33333333	5	71.4723354	0
102.8062982	2.7	engage	0	1.021	18.6	94.9	0	n/a	n/a	n/a	n/a	n/a
113.0670366	2.7	forage	0	1.634	n/a	n/a	n/a	-24.51065506	56.66666667	20	60.5	0
119.7385585	2.7	engage	0	0.847	9.8	97.9	0	n/a	n/a	n/a	n/a	n/a
130.7299861	2.7	forage	0	1.097	n/a	n/a	n/a	-15.15446741	70	10	63.0313113	0
140.3373263	2.7	engage	0	2.878	42.6	36	0	n/a	n/a	n/a	n/a	n/a
152.9615516	2.7	forage	0	2.943	n/a	n/a	n/a	-1.339501702	86.66666667	10	57.19684624	0
159.9694106	2.7	engage	0	1.789	60.5	37	1	n/a	n/a	n/a	n/a	n/a
168.9594177	2.7	forage	0	4.322	n/a	n/a	n/a	33.85896752	98.33333333	5	25.60110155	1
179.9946427	2.7	forage	0	1.058	n/a	n/a	n/a	-14.33893332	75	20	63.6050752	0
188.8010001	2.7	engage	0	0.626	102.6	74.8	1	n/a	n/a	n/a	n/a	n/a
199.8941714	2.7	forage	0	2.998	n/a	n/a	n/a	26.22846101	95	5	35.40488406	1
209.7063576	2.7	forage	0	1.902	n/a	n/a	n/a	-2.852183827	93.33333333	5	60.5	0
215.6326887	2.7	engage	0	2.69	4.4	92.4	0	n/a	n/a	n/a	n/a	n/a
228.0771808	2.7	forage	0	2.234	n/a	n/a	n/a	19.02474557	85	20	32.28846637	1
237.6883469	2.7	forage	0	1.137	n/a	n/a	n/a	-21.90127425	61.66666667	10	61.91061818	0
244.4641917	2.7	engage	0	1.409	54	31	1	n/a	n/a	n/a	n/a	n/a
254.2090002	2.7	forage	0	1.982	n/a	n/a	n/a	-13.17412437	76.66666667	5	67.47590664	0
261.7631754	2.7	engage	0	2.965	24	61.75	0	n/a	n/a	n/a	n/a	n/a
273.0380138	2.7	forage	0	2.766	n/a	n/a	n/a	-7.134037523	65	10	52.79568432	0
279.7620084	2.7	engage	0	1.258	9.4	89	0	n/a	n/a	n/a	n/a	n/a
291.9544463	2.7	forage	0	5.273	n/a	n/a	n/a	-5.475710477	68.33333333	20	56.53953523	0
303.2439055	2.7	engage	0	1.168	78.1	38.7	1	n/a	n/a	n/a	n/a	n/a
313.2363864	2.7	forage	0	1.742	n/a	n/a	n/a	24.71172141	68.33333333	10	20.30581963	1
322.5547561	2.7	forage	0	0.97	n/a	n/a	n/a	-11.01348188	51.66666667	5	47.22541623	0
330.2256737	2.7	engage	0	3.193	26.1	24.4	1	n/a	n/a	n/a	n/a	n/a
341.7677467	2.7	forage	0	2.204	n/a	n/a	n/a	-20.82648592	70	5	70.45427795	0
349.3910981	2.7	engage	0	0.626	105.95	9.6	1	n/a	n/a	n/a	n/a	n/a
359.8815535	2.7	forage	0	0.937	n/a	n/a	n/a	2.325136227	66.66666667	10	45.87704341	0
368.606627	2.7	engage	0	2.14	40.05	31.15	1	n/a	n/a	n/a	n/a	n/a
382.0474806	2.7	forage	0	0.986	n/a	n/a	n/a	-21.8247724	60	20	66.37264222	0
387.7221362	2.7	engage	0	0.671	104	39.55	1	n/a	n/a	n/a	n/a	n/a
398.680756	2.7	forage	0	1.338	n/a	n/a	n/a	-3.065145952	76.66666667	5	55.68967859	0
405.3881403	2.7	engage	0	1.047	52.8	68	0	n/a	n/a	n/a	n/a	n/a
416.5327567	2.7	forage	0	1.475	n/a	n/a	n/a	-1.414638767	78.33333333	5	52.67451335	0
423.2913736	2.7	engage	0	0.812	77.5	58.95	1	n/a	n/a	n/a	n/a	n/a
438.2299937	2.7	forage	0	1.838	n/a	n/a	n/a	1.152027899	78.33333333	10	49.5	0
444.7854639	2.7	engage	0	1.592	34.2	17.9	1	n/a	n/a	n/a	n/a	n/a
456.0300594	2.7	forage	0	1.282	n/a	n/a	n/a	13.50801771	90	10	41.12509431	1
464.1942806	2.7	forage	0	2.346	n/a	n/a	n/a	1.625922573	85	10	51.40636789	0
474.1503661	2.7	engage	0	1.136	50.5	23.75	1	n/a	n/a	n/a	n/a	n/a
484.1585598	2.7	forage	0	1.117	n/a	n/a	n/a	-24.49189846	60	20	65.85061114	0
492.0657811	2.7	engage	0	1.647	24.45	36	1	n/a	n/a	n/a	n/a	n/a
502.3114553	2.7	forage	0	2.248	n/a	n/a	n/a	19.22393072	90	10	40.60444646	1
513.5282695	2.7	forage	0	0.969	n/a	n/a	n/a	-18.56062572	73.33333333	10	67.30604597	0
520.2472767	2.7	engage	0	1.387	53.95	29.15	1	n/a	n/a	n/a	n/a	n/a
528.3057364	2.7	forage	0	0.961	n/a	n/a	n/a	-27.64120014	68.33333333	20	71.5	0
534.1150107	2.7	engage	0	1.513	84.5	10.6	1	n/a	n/a	n/a	n/a	n/a
544.4034569	2.7	forage	0	0.871	n/a	n/a	n/a	-13.18437872	81.66666667	10	66	0
550.2627801	2.7	engage	0	1.214	8.4	51	0	n/a	n/a	n/a	n/a	n/a
558.5046676	2.7	forage	0	0.981	n/a	n/a	n/a	0.609856982	78.33333333	5	52.6783864	0
566.4111596	2.7	engage	0	3.268	68.4	76	0	n/a	n/a	n/a	n/a	n/a
579.3923465	2.7	forage	0	2.184	n/a	n/a	n/a	-25.29586875	70	5	71.5	0
587.2599104	2.7	engage	0	0.888	54.6	5.6	1	n/a	n/a	n/a	n/a	n/a
596.6681491	2.7	forage	0	2.76	n/a	n/a	n/a	2.003452207	85	10	55	0
602.5922767	2.7	engage	0	1.367	21	14.9	1	n/a	n/a	n/a	n/a	n/a
613.701225	2.7	forage	0	1.221	n/a	n/a	n/a	14.63892829	81.66666667	10	40.60444646	1
622.5653007	2.7	forage	0	0.973	n/a	n/a	n/a	-10.47931526	70	5	58.13854937	0
631.2237911	2.7	engage	0	3.098	29.15	23	1	n/a	n/a	n/a	n/a	n/a
645.1675149	2.7	forage	0	1.551	n/a	n/a	n/a	25.75816273	95	5	32.30174539	1
654.3837559	2.7	forage	0	1.004	n/a	n/a	n/a	-16.9399041	78.33333333	20	68.91723253	0
662.3389778	2.7	engage	0	3.472	49.4	35.25	1	n/a	n/a	n/a	n/a	n/a
674.5667721	2.7	forage	0	0.839	n/a	n/a	n/a	-14.95933974	66.66666667	10	63.04099391	0
684.320579	2.7	engage	0	1.947	40.5	82.8	0	n/a	n/a	n/a	n/a	n/a
695.513013	2.7	forage	0	0.787	n/a	n/a	n/a	-24.1004812	63.33333333	5	67.47590664	0
701.2362323	2.7	engage	0	5.319	46.5	53.3	1	n/a	n/a	n/a	n/a	n/a
